DATE,"BlackRock, Inc.",Jefferies Financial Group Inc.,Sun Life Financial Inc.
3/2/2015,376.42,22.18,30.89
3/3/2015,373.66,22.46,30.76
3/4/2015,369.14,22.27,31.13
3/5/2015,369.94,22.43,31.38
3/6/2015,365.47,21.91,31.42
3/9/2015,364.59,21.90,31.27
3/10/2015,356.19,21.57,30.47
3/11/2015,358.41,21.77,30.62
3/12/2015,368.71,22.10,31.47
3/13/2015,367.74,22.08,31.15
3/16/2015,374.08,22.26,31.73
3/17/2015,374.26,21.66,31.69
3/18/2015,377.76,21.89,31.95
3/19/2015,369.95,21.60,31.39
3/20/2015,378.64,21.58,32.53
3/23/2015,374.33,21.76,32.22
3/24/2015,369.10,21.58,32.50
3/25/2015,363.92,21.23,31.98
3/26/2015,362.15,20.83,31.79
3/27/2015,361.63,20.75,31.04
3/30/2015,368.10,20.91,30.88
3/31/2015,365.84,20.87,30.82
4/1/2015,362.57,20.87,30.73
4/2/2015,366.40,21.04,31.17
4/6/2015,366.98,21.45,31.36
4/7/2015,368.62,21.39,31.50
4/8/2015,369.71,21.43,31.62
4/9/2015,371.53,21.53,31.60
4/10/2015,369.45,21.60,31.34
4/13/2015,369.69,21.61,31.33
4/14/2015,373.66,21.55,31.79
4/15/2015,376.66,21.60,32.57
4/16/2015,372.18,21.43,32.63
4/17/2015,365.40,21.26,32.03
4/20/2015,369.71,21.42,32.14
4/21/2015,367.52,21.31,31.77
4/22/2015,369.51,21.26,31.98
4/23/2015,371.93,21.31,32.37
4/24/2015,372.98,21.58,32.50
4/27/2015,371.89,21.77,32.50
4/28/2015,377.85,22.09,32.79
4/29/2015,366.67,22.28,32.76
4/30/2015,363.94,22.25,32.03
5/1/2015,368.64,22.43,32.15
5/4/2015,370.27,22.49,32.82
5/5/2015,366.05,22.25,32.66
5/6/2015,363.40,21.99,33.31
5/7/2015,365.68,22.02,33.74
5/8/2015,370.04,22.47,33.86
5/11/2015,367.78,22.48,33.85
5/12/2015,365.17,22.40,34.11
5/13/2015,365.13,22.43,33.94
5/14/2015,371.47,22.52,33.76
5/15/2015,370.85,22.51,33.63
5/18/2015,370.71,22.71,33.35
5/19/2015,371.08,22.77,33.53
5/20/2015,370.25,23.24,33.36
5/21/2015,368.22,23.38,33.56
5/22/2015,368.08,23.33,32.60
5/26/2015,365.03,23.04,32.05
5/27/2015,368.68,23.10,32.15
5/28/2015,369.51,23.37,32.18
5/29/2015,365.78,23.06,31.96
6/1/2015,364.27,22.96,31.81
6/2/2015,363.40,23.00,32.17
6/3/2015,364.95,23.25,32.69
6/4/2015,357.83,22.72,32.61
6/5/2015,355.32,23.00,33.10
6/8/2015,353.45,22.98,33.02
6/9/2015,352.73,22.79,33.73
6/10/2015,355.61,23.05,34.83
6/11/2015,356.81,22.92,34.70
6/12/2015,353.43,22.63,34.30
6/15/2015,355.28,22.49,34.19
6/16/2015,357.28,22.48,34.33
6/17/2015,357.30,22.26,34.52
6/18/2015,360.88,22.66,34.53
6/19/2015,359.19,22.63,33.71
6/22/2015,358.96,22.84,33.90
6/23/2015,360.15,22.85,34.35
6/24/2015,355.57,22.77,34.50
6/25/2015,351.13,22.52,34.85
6/26/2015,354.47,23.00,34.87
6/29/2015,344.54,22.58,33.59
6/30/2015,345.98,22.73,33.40
7/1/2015,347.40,22.83,33.55
7/2/2015,345.40,22.96,33.33
7/6/2015,342.81,22.84,32.98
7/7/2015,342.61,23.01,32.92
7/8/2015,334.12,22.63,32.51
7/9/2015,336.89,22.80,32.32
7/10/2015,339.46,23.18,33.02
7/13/2015,344.26,23.57,33.23
7/14/2015,342.73,23.59,33.24
7/15/2015,346.49,23.33,33.17
7/16/2015,354.28,23.38,33.04
7/17/2015,354.54,23.26,33.10
7/20/2015,353.10,23.17,32.80
7/21/2015,351.82,23.00,32.98
7/22/2015,350.00,22.48,32.50
7/23/2015,346.44,22.19,32.02
7/24/2015,341.41,21.90,31.77
7/27/2015,336.24,21.89,31.50
7/28/2015,336.84,22.22,31.96
7/29/2015,339.84,22.22,32.75
7/30/2015,338.75,22.32,32.82
7/31/2015,336.32,22.02,32.62
8/3/2015,334.70,21.83,32.36
8/4/2015,332.44,21.82,32.57
8/5/2015,334.69,21.57,32.46
8/6/2015,333.07,21.41,34.51
8/7/2015,331.85,21.66,34.21
8/10/2015,335.59,21.89,34.74
8/11/2015,330.00,21.50,34.54
8/12/2015,327.13,21.66,34.11
8/13/2015,325.91,21.57,33.74
8/14/2015,328.14,21.86,33.81
8/17/2015,329.33,21.81,33.77
8/18/2015,328.72,21.67,33.77
8/19/2015,323.26,21.52,33.25
8/20/2015,317.06,20.87,32.58
8/21/2015,307.27,20.05,31.11
8/24/2015,299.17,19.23,29.59
8/25/2015,294.66,19.12,30.03
8/26/2015,303.09,19.41,31.06
8/27/2015,314.47,20.33,31.86
8/28/2015,311.23,20.13,31.76
8/31/2015,302.47,20.09,31.87
9/1/2015,294.30,19.39,30.79
9/2/2015,298.53,19.53,30.97
9/3/2015,300.26,19.60,31.47
9/4/2015,294.24,19.02,31.02
9/8/2015,301.43,19.58,31.31
9/9/2015,296.77,19.40,30.99
9/10/2015,301.31,19.58,32.04
9/11/2015,303.31,19.49,32.09
9/14/2015,301.06,19.03,32.13
9/15/2015,307.90,19.24,32.26
9/16/2015,313.51,19.31,32.79
9/17/2015,311.63,19.11,32.25
9/18/2015,308.87,18.99,31.50
9/21/2015,312.39,18.82,32.74
9/22/2015,304.33,18.96,32.00
9/23/2015,303.26,18.87,31.60
9/24/2015,300.51,18.93,31.56
9/25/2015,302.98,18.96,32.04
9/28/2015,294.06,18.65,31.37
9/29/2015,293.52,18.80,31.71
9/30/2015,297.47,18.96,32.26
10/1/2015,295.92,18.35,32.39
10/2/2015,303.36,18.42,32.36
10/5/2015,313.61,18.80,33.40
10/6/2015,312.73,19.01,33.88
10/7/2015,320.64,19.61,33.97
10/8/2015,318.57,19.76,34.29
10/9/2015,318.11,19.72,34.26
10/12/2015,315.66,19.33,34.21
10/13/2015,315.12,19.04,34.02
10/14/2015,322.47,18.80,33.59
10/15/2015,325.63,19.04,33.78
10/16/2015,330.83,19.18,33.74
10/19/2015,327.88,19.09,33.70
10/20/2015,327.15,18.98,33.92
10/21/2015,321.98,18.63,33.81
10/22/2015,335.35,18.86,34.02
10/23/2015,340.79,18.91,34.28
10/26/2015,337.02,18.75,34.14
10/27/2015,335.57,18.82,33.96
10/28/2015,346.32,18.81,34.60
10/29/2015,349.86,18.72,34.23
10/30/2015,351.97,18.73,33.71
11/2/2015,354.57,18.84,33.85
11/3/2015,358.47,18.80,34.07
11/4/2015,356.49,18.69,33.93
11/5/2015,357.30,18.10,33.29
11/6/2015,356.70,18.23,33.86
11/9/2015,349.57,17.69,33.78
11/10/2015,350.27,17.72,33.80
11/11/2015,350.50,17.59,33.72
11/12/2015,345.74,17.25,32.98
11/13/2015,343.25,16.86,32.54
11/16/2015,352.33,17.24,32.83
11/17/2015,353.42,16.95,32.82
11/18/2015,360.63,17.18,33.03
11/19/2015,359.09,16.96,33.65
11/20/2015,362.46,16.91,33.37
11/23/2015,363.25,16.90,32.66
11/24/2015,356.81,16.86,32.87
11/25/2015,360.62,16.80,32.68
11/27/2015,358.39,16.74,32.75
11/30/2015,363.72,16.55,33.00
12/1/2015,361.73,16.61,33.60
12/2/2015,358.92,16.85,33.39
12/3/2015,352.00,16.81,33.14
